incidentType,causeGroup,cause1
Security,Missing Patient (Sectioned),Absconsion From A&E Or Other
Security,Missing Patient (Sectioned),Absconsion From Inpatient Unit
Clinical Incident,Mental Health Act,Access To AMHP
Fire (Including Smoking Issues),Fire,Accidental
Fire (Including Smoking Issues),False Alarm,Accidental Activation Of Fire Alarm
Clinical Incident,"Access, Admission, Xfer, Discharge",Admission Delay / No Bed Available
Clinical Incident,Safeguarding/Privacy & Dignity,Admission Of A Female To A Male Bed
Clinical Incident,Safeguarding/Privacy & Dignity,Admission Of A Male To A Female Bed
Clinical Incident,Safeguarding/Privacy & Dignity,Admission Of Under 18 To Acute Adult Unit
Clinical Incident,Pharmacy Interventions,Adverse Effects
"Other (Estates, Facilities & Complaints)",Infrastructure / Maintenance Issue,Alarm Issue
Clinical Incident,Death,Alcohol / Substance Abuse Related
Clinical Incident,Medication (Side Effect / Allergy),Allergy (Known)
Clinical Incident,Medication (Side Effect / Allergy),Allergy (Unknown)
Clinical Incident,Pharmacy Interventions,Allergy Status
Clinical Incident,"Access, Admission, Xfer, Discharge",Assessment Delay
Security,Security Equipment,Attack Alarm Failure
Security,Attempted Absconsion Of Inpatient,Attempted Absconsion From Acute Unit
Security,Attempted Absconsion Of Inpatient,Attempted Absconsion From Forensic Unit
Security,Attempted Absconsion Of Inpatient,Attempted Absconsion From PICU
Security,Attempted Absconsion Of Inpatient,Attempted Absconsion From Rehab Unit
Security,Attempted Absconsion Of Inpatient,Attempted Absconsion Whilst On Leave
"Violence, Abuse And Harrassment",Assault (Attempted),Attempted Assault - Other On Pt
"Violence, Abuse And Harrassment",Assault (Attempted),Attempted Assault - Other On St
"Violence, Abuse And Harrassment",Assault (Attempted),Attempted Assault - Pt On Other
"Violence, Abuse And Harrassment",Assault (Attempted),Attempted Assault - Pt On Pt
"Violence, Abuse And Harrassment",Assault (Attempted),Attempted Assault - Pt On St
"Violence, Abuse And Harrassment",Assault (Attempted),Attempted Assault - St On Pt
Clinical Incident,Management Of Infection Control,"Blood Stream Infection (E-Coli, MMSA, MRSA...)"
Clinical Incident,Pharmacy Interventions,Blood Tests/TDM/Physical Monitoring
Security,Information Governance,Breach Of Patient Confidentiality
Security,Intrusion / Trespassing / Break In,Break In To Trust Premises
Clinical Incident,Self Harm (Actual),Burning/Scalding
Clinical Incident,Self Harm (Attempted),Burning/Scalding (Attempted)
Clinical Incident,Care Record (Clinical Notes),Care Record Unavailable For Clinic
Clinical Incident,Safeguarding/Privacy & Dignity,Child Protection
Clinical Incident,Pharmacy Interventions,Choice Of Therapy
Accident (Patient),Choking,Choking/Swallowing
Clinical Incident,Management Of Infection Control,Clinical Waste Management
Ill Health,Ill Health (Other),Collapse/Fainting (Other)
Ill Health,Ill Health (Patient),Collapse/Fainting (Patient)
Ill Health,Ill Health (Staff),Collapse/Fainting (Staff)
Clinical Incident,Medication (Management),Communication (Medication Related)
Clinical Incident,Communication / Handover,Communication With External Agency
